source;original_uid;osm_id;purpose;name;operator_name;address;type;park_and_ride_type;lat;lon;capacity;max_stay;has_lighting;opening_hours;description;public_url;photo_url
Landratsamt Calw;INFRA-de:08235:1510-PARKPLATZ-1;;CAR;Rathaus (Gechingen);;;;NO;48.6949645;8.8293071;1;;;;;;
Landratsamt Calw;INFRA-de:08235:10169-PARKPLATZ-1;;CAR;Burgschule;;;;NO;48.552753;8.724225;2;;;;;;
Landratsamt Calw;INFRA-de:08235:10112-PARKPLATZ-1;;CAR;Altensteiger Str.;;;;YES;48.549395;8.714575;2;;;;;;
Landratsamt Calw;INFRA-de:08235:10449-PARKPLATZ-1;;CAR;Uferstr.;;;;YES;48.549411;8.714552;2;;;;;;
Landratsamt Emmendingen;INFRA-de:08316:102-PARKPLATZ-1;;CAR;Sport- und Familienbad;;;;YES;48.2277854;8.1678844;3;;;;;;
Landratsamt Emmendingen;INFRA-de:08316:6505-PARKPLATZ-4;;CAR;Bahnhof (Denzlingen);;;;YES;48.2293301;7.7184017;2;;;;;;
Landratsamt Emmendingen;INFRA-de:08316:90-PARKPLATZ-3;;CAR;Bahnhof (Emmendingen);;;;YES;48.1204618;7.8467438000000005;5;;;;;;
Landratsamt Freudenstadt;INFRA-de:08237:4305-PARKPLATZ-2;;CAR;Schule (Schopfloch (b Freud));;;;NO;48.455075049;8.547399444;2;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4305/9abef2e0-6c0f-442b-a927-135bbb9a3277.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4461-PARKPLATZ-1;;CAR;Ortsmitte (Grünmettstetten);;;;NO;48.457330739;8.617143555;5;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4461/36b6fd2c-6181-430d-a635-e2d4834b5ef1.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4352-PARKPLATZ-1;;CAR;Grüner Baum;;;;NO;48.4320644;8.660972600000001;11;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4352/dd54820b-7800-467c-be0c-55bdc7eba4a8.jpg
Landratsamt Freudenstadt;INFRA-de:08237:5111-PARKPLATZ-1;;CAR;Rathaus (Bildechingen);;;;NO;48.466042427;8.714717527;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:5111/a4195994-ef47-4bbc-934c-f05bac157e46.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4401-PARKPLATZ-1;;CAR;ZOB (Lützenhardt (Kr FDS));;;;NO;48.4856072;8.5669626;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4401/36a4c72e-973c-43a5-a11a-5335225aab51.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4531-PARKPLATZ-1;;CAR;Oberwaldach;;;;NO;48.499059;8.5760246;4;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4531/18c72a64-8a48-482b-bd37-5cf75297bcec.jpg
Landratsamt Freudenstadt;INFRA-de:08237:7965-PARKPLATZ-5;;CAR;Bahnhof (Eutingen im Gäu);;;;NO;48.479323471;8.782302647;2;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:7965/345de4fc-e76f-4159-af4c-f52483a356bd.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4209-PARKPLATZ-1;;CAR;Schwimmbad;;;;NO;48.43910661;8.509686173;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4209/0cf9c02c-2c6d-40e3-9d79-1461281f1995.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3101-PARKPLATZ-1;;CAR;Rathaus (Wittendorf);;;;NO;48.4190635;8.498793299999999;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3101/28e9af5a-8efb-498c-a9d9-8833b7c746ab.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3103-PARKPLATZ-1;;CAR;Laiberghalle;;;;NO;48.4216992;8.4988545;4;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3103/e8af3a3b-81e9-49bf-aa36-6501c4b54d89.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3103-PARKPLATZ-2;;CAR;Laiberghalle;;;;NO;48.4217712;8.498212;11;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3103/1066e398-43fc-4424-b524-f618ae20df24.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3241-PARKPLATZ-1;;CAR;Sterneck;;;;NO;48.4096754;8.4527227;4;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3241/121a253c-af96-49b3-9c35-880d7de551c8.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3801-PARKPLATZ-4;;CAR;Bahnhof;;;;NO;48.343599;8.398267;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3801/cb1f21f6-c6d4-419c-84d7-354a9bf81b3e.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3810-PARKPLATZ-1;;CAR;Klosterbräu;Edeka;;;NO;48.3399686;8.3962804;3;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3810/53f9f553-a1d5-4049-b00e-86d7f15ccadc.jpg
Landratsamt Freudenstadt;INFRA-de:08237:3808-PARKPLATZ-1;;CAR;Freibad;Freibad;;;NO;48.3297939;8.4084908;2;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:3808/02a35b92-e81a-49b8-b1e3-de9e3210652d.jpg
Landratsamt Freudenstadt;INFRA-de:08237:6878-PARKPLATZ-1;;CAR;Kloster (Alpirsbach);;;;NO;48.3467307;8.4035637;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:6878/b17bbf77-1ec7-4914-a671-763d7f08fadd.jpg
Landratsamt Freudenstadt;INFRA-de:08237:10210-PARKPLATZ-2;;CAR;Waldsägemühle;Hotel Waldsägemühle;;;NO;48.5267319;8.5193286;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:10210/3bf217c0-ae06-41e3-9842-97d9e7c20cc1.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4502-PARKPLATZ-1;;CAR;ZOB Burgstr.;;;;NO;48.524679;8.5618648;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4502/fb35aa30-3fad-42c7-8e72-edf4f7dab3bd.jpg
Landratsamt Freudenstadt;INFRA-de:08237:1203-PARKPLATZ-1;;CAR;Kirche (Baiersbronn);;;;NO;48.503856999999996;8.3756945;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:1203/5cf08ded-51ac-4824-8711-a83074203019.jpg
Landratsamt Freudenstadt;INFRA-de:08237:1209-PARKPLATZ-1;;CAR;Münsterschule;;;;NO;48.5097639;8.368642;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:1209/7d2ca2b5-be07-40ed-8218-25c5557a4587.jpg
Landratsamt Freudenstadt;INFRA-de:08237:1262-PARKPLATZ-1;;CAR;Lamm;;;;NO;48.5200228;8.3245749;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:1262/74be33fa-570a-43a1-b17f-d3487eec6243.jpg
Landratsamt Freudenstadt;INFRA-de:08237:1053-PARKPLATZ-1;;CAR;Am Kohlstätter Hardt;;;;NO;48.4758586;8.407524;1;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:1053/9dd52ea7-d0f9-40a2-a45f-efb55f6374cd.jpg
Landratsamt Freudenstadt;INFRA-de:08237:4423-PARKPLATZ-1;;CAR;Fischerwerke;Fischer;;;NO;48.4734104;8.5813376;2;;;;;;https://mobidata-bw.de/bfrk/haltestelle/bilder/de:08237:4423/77c70ca1-74e4-4c03-b668-50f347822d1a.jpg
