linie;puenktlichkeitsniveau_an;jahr;monat
RB 61 Itzehoe - Hamburg (Hbf);91,81;2010;1
RB 62 Heide - Itzehoe;92,84;2010;1
RB 64 St.-Peter-Ording - Husum;98,15;2010;1
RB 71 Wrist - Hamburg-Altona;87,57;2010;1
RB 73 Eckernförde - Kiel;89,94;2010;1
RB 81 Bad Oldesloe - Hamburg (Hbf);82,78;2010;1
RB 84 Kiel - Lübeck;91,73;2010;1
RB 85 Puttgarden - Lübeck;92,18;2010;1
RB 86 Travemünde - Lübeck;89,49;2010;1
RE 1 Hamburg (Hbf) - Büchen;88,79;2010;1
RE 1 Hamburg (Hbf) - Schwerin;66,53;2010;1
RE 4 Lübeck - Bad Kleinen;90,32;2010;1
RE 6 Westerland - Hamburg-Altona;89,38;2010;1
RE 7 Flensburg - Hamburg (Hbf);95,18;2010;1
RE 7 Flensburg - Hamburg (Hbf);86,63;2010;1
RE 70 Kiel - Hamburg (Hbf);81,66;2010;1
RE 72 Flensburg - Kiel;69,51;2010;1
RE 74 Husum - Kiel;89,3;2010;1
RE 8 Lübeck - Hamburg (Hbf);87,16;2010;1
RE 83 Lübeck - Lüneburg;86,42;2010;1
RB 61 Itzehoe - Hamburg (Hbf);93,96;2010;2
RB 62 Heide - Itzehoe;93,66;2010;2
RB 64 St.-Peter-Ording - Husum;98,54;2010;2
RB 71 Wrist - Hamburg-Altona;88,16;2010;2
RB 73 Eckernförde - Kiel;85,53;2010;2
RB 81 Bad Oldesloe - Hamburg (Hbf);87,32;2010;2
RB 84 Kiel - Lübeck;90,85;2010;2
RB 85 Puttgarden - Lübeck;95,62;2010;2
RB 86 Travemünde - Lübeck;86,32;2010;2
RE 1 Hamburg (Hbf) - Büchen;90,66;2010;2
RE 1 Hamburg (Hbf) - Schwerin;73,32;2010;2
RE 4 Lübeck - Bad Kleinen;86,04;2010;2
RE 6 Westerland - Hamburg-Altona;90,77;2010;2
RE 7 Flensburg - Hamburg (Hbf);89,35;2010;2
RE 7 Flensburg - Hamburg (Hbf);84,19;2010;2
RE 70 Kiel - Hamburg (Hbf);84,04;2010;2
RE 72 Flensburg - Kiel;69,98;2010;2
RE 74 Husum - Kiel;90,52;2010;2
RE 8 Lübeck - Hamburg (Hbf);90,24;2010;2
RE 83 Lübeck - Lüneburg;87,47;2010;2
RB 61 Itzehoe - Hamburg (Hbf);94,3;2010;3
RB 62 Heide - Itzehoe;95,66;2010;3
RB 64 St.-Peter-Ording - Husum;99,08;2010;3
RB 71 Wrist - Hamburg-Altona;91,19;2010;3
RB 73 Eckernförde - Kiel;97,08;2010;3
RB 81 Bad Oldesloe - Hamburg (Hbf);84,62;2010;3
RB 84 Kiel - Lübeck;90,83;2010;3
RB 85 Puttgarden - Lübeck;97,08;2010;3
RB 86 Travemünde - Lübeck;97,91;2010;3
RE 1 Hamburg (Hbf) - Büchen;95,8;2010;3
RE 1 Hamburg (Hbf) - Schwerin;86,46;2010;3
RE 4 Lübeck - Bad Kleinen;96,01;2010;3
RE 6 Westerland - Hamburg-Altona;92,26;2010;3
RE 7 Flensburg - Hamburg (Hbf);95,95;2010;3
RE 7 Flensburg - Hamburg (Hbf);87,22;2010;3
RE 70 Kiel - Hamburg (Hbf);87,09;2010;3
RE 72 Flensburg - Kiel;91,6;2010;3
RE 74 Husum - Kiel;98,04;2010;3
RE 8 Lübeck - Hamburg (Hbf);85,52;2010;3
RE 83 Lübeck - Lüneburg;95,96;2010;3
RB 61 Itzehoe - Hamburg (Hbf);91,85;2010;4
RB 62 Heide - Itzehoe;96,54;2010;4
RB 64 St.-Peter-Ording - Husum;99,38;2010;4
RB 71 Wrist - Hamburg-Altona;86,08;2010;4
RB 73 Eckernförde - Kiel;95,21;2010;4
RB 81 Bad Oldesloe - Hamburg (Hbf);91,22;2010;4
RB 84 Kiel - Lübeck;91,29;2010;4
RB 85 Puttgarden - Lübeck;95,12;2010;4
RB 86 Travemünde - Lübeck;90,78;2010;4
RE 1 Hamburg (Hbf) - Büchen;96,32;2010;4
RE 1 Hamburg (Hbf) - Schwerin;90,96;2010;4
RE 4 Lübeck - Bad Kleinen;92,31;2010;4
RE 6 Westerland - Hamburg-Altona;93,89;2010;4
RE 7 Flensburg - Hamburg (Hbf);91,73;2010;4
RE 7 Flensburg - Hamburg (Hbf);84,41;2010;4
RE 70 Kiel - Hamburg (Hbf);81,03;2010;4
RE 72 Flensburg - Kiel;93,58;2010;4
RE 74 Husum - Kiel;94,9;2010;4
RE 8 Lübeck - Hamburg (Hbf);90,12;2010;4
RE 83 Lübeck - Lüneburg;96,21;2010;4
RB 61 Itzehoe - Hamburg (Hbf);93,17;2010;5
RB 62 Heide - Itzehoe;96,27;2010;5
RB 64 St.-Peter-Ording - Husum;99,3;2010;5
RB 71 Wrist - Hamburg-Altona;87,57;2010;5
RB 73 Eckernförde - Kiel;92,7;2010;5
RB 81 Bad Oldesloe - Hamburg (Hbf);94,15;2010;5
RB 84 Kiel - Lübeck;90,59;2010;5
RB 85 Puttgarden - Lübeck;96,92;2010;5
RB 86 Travemünde - Lübeck;95,42;2010;5
